"","decomposedRes.x","decomposedRes.seasonal","decomposedRes.trend","decomposedRes.random"
"835",4.15,1.11208665964191,3.85326027397261,0.968458734932792
"836",4.03,0.871635537361414,3.854,1.19966063202577
"837",3.92,1.09795493651295,3.85506849315069,0.926124669390139
"838",3.87,1.07813848618358,3.85635616438356,0.930806223114668
"839",3.88,1.05999596853706,3.85742465753425,0.948921004273215
"840",3.83,1.05844666701717,3.85868493150685,0.937757346564258
"841",3.81,1.04468080617457,3.86021917808219,0.944777182755806
"842",3.8,1.03668537891839,3.86120547945206,0.949322358144324
"843",3.83,1.06076471013073,3.86191780821918,0.934924809026347
"844",3.86,1.09785493385595,3.86408219178082,0.909904873416288
"845",3.81,1.06701359881182,3.86641095890411,0.923521495082254
"846",3.77,1.05965790356494,3.86827397260274,0.919725955535273
"847",3.63,1.05498105145866,3.86956164383562,0.889201519471061
"848",3.62,1.03092246702796,3.87104109589041,0.907099200683422
"849",3.86,1.04399480977536,3.88487671232877,0.9517255405201
"850",3.8,0.788853805018909,3.88583561643836,1.23966016918011
"851",3.94,1.07870338489971,3.88775342465754,0.939497151531882
"852",3.85,1.05974923003017,3.8902191780822,0.93386381810023
"853",3.77,1.05520800364359,3.89224657534247,0.917915975407563
"854",3.8,1.04789666815142,3.89394520547946,0.931269331786386
"855",3.8,1.04602981602607,3.89630136986302,0.932367209990978
"856",3.85,1.05911862246683,3.89975342465754,0.932135347316767
"857",3.87,1.06051169037809,3.90452054794521,0.934604337113374
"858",3.89,1.04601434985798,3.90978082191781,0.951173072140505
"859",3.83,1.03523858611497,3.91693150684932,0.944522582027146
"860",3.76,0.745327492188853,3.92378082191781,1.28568910540091
"861",3.82,1.04227372501437,3.93057534246576,0.932449773691651
"862",3.91,0.764066885332771,3.93619178082192,1.30007716265238
"863",4,1.03462241033279,3.94082191780822,0.98105035718229
"864",4.04,1.04415400599878,3.94561643835617,0.980622698802388
"865",3.93,1.00768864153221,3.95041095890411,0.987242651334862
"866",3.9,1.00779274683326,3.956,0.978221256559459
"867",4,1.01211998803333,3.96178082191781,0.997556595332243
"868",4,1.03253992619204,3.96709589041096,0.976518418899644
"869",3.94,1.02025746880227,3.97191780821918,0.972268434272155
"870",3.83,1.02532404254028,3.97652054794521,0.939365058861776
"871",3.82,1.04047780034837,3.98087671232877,0.922256695138119
"872",4.02,1.05696377337936,3.98578082191781,0.954228838251867
"873",3.92,1.07276753067444,3.99041095890411,0.915720258520686
"874",3.9,1.09432166033493,3.9947397260274,0.892136120080434
"875",3.86,1.09727807899752,4.00991780821918,0.87727374221052
"876",3.82,1.0754430746192,4.01380821917809,0.884951190270206
"877",3.82,1.07522130119622,4.01676712328768,0.884481695574162
"878",3.84,1.06302585879197,4.01986301369863,0.898620126876712
"879",3.97,1.06582008181884,4.02334246575343,0.925805180850383
"880",3.93,1.05804002341115,4.02646575342466,0.922500147596203
"881",3.83,1.05228887983977,4.02956164383562,0.90324587948998
"882",3.84,1.06243464182805,4.032,0.896413685026552
"883",3.72,1.06169266158888,4.03413698630137,0.868547316846083
"884",3.55,1.03026467544777,4.03720547945206,0.853490496268259
"885",3.49,1.03094675924236,4.04008219178083,0.837913116195102
"886",3.45,1.01638985994038,4.04298630136987,0.839569207136364
"887",3.45,1.03599711549166,4.04542465753425,0.823183073227191
"888",3.43,1.03481871620126,4.048,0.818821695572695
"889",3.49,1.01175454084525,4.06197260273973,0.849206431974974
"890",3.55,1.01609988183895,4.06441095890411,0.859595906198198
"891",3.55,1.01687246406919,4.06709589041096,0.858375777742965
