FECHA,APERTURA,ULTIMO
20170517,37.4,37.1
20170518,35.9,36.5
20170519,36.35,38.2
20170522,38,38.5
20170523,38.6,38.3
20170524,38.3,38.8
20170526,40,40.75
20170529,40.8,41.25
20170530,41.25,40.65
20170531,41.85,40.65
20170601,41,41.75
20170602,42,41.3
20170605,41.55,40.9
20170606,37.4,40.4
20170607,40.5,40.15
20170608,40.5,40.35
20170609,40.8,40.5
20170612,40.45,39.45
20170613,39,39.7
20170614,39.7,40
20170615,39.85,39.6
20170616,39.7,40.6
20170619,41.25,41.9
20170621,38.95,38.4
20170622,38.3,38.8
20170623,39,38.4
20170626,38.75,38.7
20170627,38.8,38.4
20170628,39,38.75
20170629,39.5,38.9
20170630,39.2,39.4
20170703,39.4,40
20170704,40,39.9
20170705,40,40.05
20170706,40.15,40.25
20170707,40.2,40.15
20170710,40.15,38.9
20170711,39,38.75
20170712,38.8,38.3
20170713,38.35,37.1
20170714,37.1,37.05
20170717,36.8,35.7
20170718,35.15,36
20170719,36.3,36.7
20170720,37,37.7
20170721,38.15,38.85
20170724,38.85,38.6
20170725,38.55,38.15
20170726,38.2,37.9
20170727,37.45,38
20170728,38,39.1
20170731,38.95,38.5
20170801,38.6,38.7
20170802,38.9,39.4
20170803,39.25,39.8
20170804,39.8,40.05
20170807,40,39.4
20170808,39.5,38.5
20170809,38.3,37.5
20170810,37.35,37.85
20170811,37.75,39.25
20170814,41.3,42.5
20170815,42.5,42.6
20170816,42.6,43.15
20170817,43.15,41.9
20170818,42.95,41.5
20170822,41.2,40.55
20170823,40.6,41.2
20170824,41.85,43.05
20170825,43.1,42.6
20170828,42.9,43.35
20170829,43.35,42.85
20170830,43,42.7
20170831,42.7,42.7
20170901,42.7,43
20170904,42,43.3
20170905,43.3,43.55
20170906,43.7,42.8
20170907,42.95,43.1
20170908,43.05,42.8
20170911,42.8,42.7
20170912,42.8,41.8
20170913,41.7,41.6
20170914,41.6,41.5
20170915,41.5,41.4
20170918,41.4,41.8
20170919,42.1,41.7
20170920,41.7,41.7
20170921,41.7,42.6
20170922,42.55,43.15
20170925,43.5,42.85
20170926,43,43.2
20170927,43.3,43.2
20170928,43.4,43.5
20170929,44,45.25
20171002,45.95,46.2
20171003,46.2,46
20171004,45.8,45.45
20171005,45.65,46.55
20171006,46,47.2
20171009,47,47.05
20171010,47.5,46.75
20171011,47.15,47
20171012,47.35,47.45
20171013,47.4,46.85
20171017,45.95,44.6
20171018,44.8,44.1
20171019,44.1,45
20171020,45.5,46.5
20171023,47.7,48.7
20171024,49,49.6
20171025,49.4,48.75
20171026,48.75,48.5
20171027,48.5,47.35
20171030,47,47
20171031,47,48
20171101,48.6,48.25
20171102,48.8,48.6
20171103,48.5,47.4
20171107,47.45,47.2
20171108,47.15,46.5
20171109,46.5,46.65
20171110,46.7,45.4
20171113,45.2,44
20171114,44,42.25
20171115,42.1,43.5
20171116,45.4,45.5
20171117,45.55,45.4
20171121,45.4,45.25
20171122,45.5,46.7
20171123,47,46.85
20171124,46.85,46.5
20171127,46.05,45.3
20171128,45.5,45
20171129,44.75,44.9
20171130,45,44.3
20171201,44.2,44
20171204,44.1,43.2
20171205,43.3,42.75
20171206,42.75,43.75
20171207,44,44.35
20171211,44.35,44.2
20171212,44.35,44.75
20171213,44.9,44.4
20171214,44.4,44.5
20171215,44.5,44.75
20171218,44.7,44.55
20171219,44.4,46.6
20171220,46.6,46.8
20171221,47.5,48.45
20171222,48.2,48.8
20171226,49.1,49.1
20171227,49.1,49.2
20171228,49.3,50.25
20171229,50.2,49.85
20180102,50,51.2
20180103,51.2,51.7
20180104,51.85,52
20180105,52,52.4
20180108,52.3,53.4
20180109,53.45,52.9
20180110,52.9,51.7
20180111,51.5,52.5
20180112,52.7,53.95
20180115,53.95,55.95
20180116,56,54.9
20180117,54.95,54.25
