0,prom_ap_cierre,tendencia
20111109,0.18812,-0.00169
20111110,0.18657,-0.00242
20111111,0.18595,-0.00243
20111114,0.18354,-0.00262
20111115,0.18315,-0.0018
20111116,0.17951,-0.00148
20111117,0.17586,-0.00154
20111118,0.17501,-0.00082
20111121,0.17229,-0.00015
20111122,0.17229,0.00229
20111123,0.16981,0.00299
20111125,0.16857,0.00229
20111128,0.17004,0.00145
20111129,0.17144,-0.00057
20111130,0.17982,-0.00171
20111201,0.17865,-0.0025
20111202,0.17788,-0.00273
20111205,0.17966,-0.00176
20111206,0.17648,-0.00082
20111207,0.17082,-0.00144
20111208,0.16981,-0.00226
20111209,0.16934,-0.00211
20111212,0.16841,-0.00156
20111213,0.1674,-0.0005
20111214,0.1636,0.0003
20111215,0.16042,-0.00015
20111216,0.16135,-0.0009
20111219,0.16073,-0.00119
20111220,0.16096,-0.00101
20111221,0.16213,0.0
20111222,0.15988,0.00131
20111223,0.15677,0.00128
20111227,0.1577,0.00131
20111228,0.15817,0.00166
20111229,0.15918,0.00199
20111230,0.16259,0.00265
20120103,0.16189,0.00289
20120104,0.16337,0.00209
20120105,0.16709,0.00079
20120106,0.16996,0.0
20120109,0.17183,-0.00078
20120110,0.17547,-0.00046
20120111,0.17477,0.00016
20120112,0.17245,0.00039
20120113,0.17299,0.00047
20120117,0.17245,0.00043
20120118,0.17245,0.00023
20120119,0.17353,0.00079
20120120,0.17439,0.00114
20120123,0.17384,0.00085
20120124,0.17446,-0.00044
20120125,0.17462,-0.0021
20120126,0.17796,-0.00259
20120127,0.1778,-0.00221
20120130,0.1771,-0.00124
20120131,0.17283,-0.00076
20120201,0.16996,-0.00077
20120202,0.16841,-0.00089
20120203,0.16826,-0.00069
20120206,0.16748,-0.00042
20120207,0.16663,-0.00032
20120208,0.16538,-0.00048
20120209,0.16484,-0.00071
20120210,0.16492,-0.00059
20120213,0.16476,-0.00032
20120214,0.16383,0.0
20120215,0.16298,0.0
20120216,0.16228,-0.00019
20120217,0.16259,-0.00036
20120221,0.16244,-0.00037
20120222,0.16267,-0.00037
20120223,0.16197,-0.0005
20120224,0.16189,-0.00014
20120227,0.16104,0.0
20120228,0.16127,-0.00039
20120229,0.16042,-0.00055
20120301,0.15972,-0.0003
20120302,0.16112,0.00012
20120305,0.16081,-0.00034
20120306,0.15794,-0.00167
20120307,0.15856,-0.00234
20120308,0.16073,-0.00198
20120309,0.16003,-0.00119
20120312,0.15553,-0.00131
20120313,0.15281,-0.00236
20120314,0.15266,-0.00274
20120315,0.15158,-0.00329
20120316,0.1502,-0.00362
20120319,0.1475,-0.00338
20120320,0.14288,-0.00331
20120321,0.14154,-0.00193
20120322,0.13675,-0.00088
20120323,0.13247,0.0
20120326,0.13051,0.00063
20120327,0.12813,0.00011
20120328,0.12925,-0.00103
20120329,0.12871,-0.00213
20120330,0.13003,-0.00259
20120402,0.13088,-0.002
20120403,0.12871,-0.00063
20120404,0.12421,0.00026
20120405,0.12271,0.00039
