fecha,apertura,maximo,minimo,ultima
20161017,286.00,293.50,286.00,293.50
20161014,288.00,288.95,285.00,286.50
20161013,288.00,288.00,284.00,286.50
20161012,294.00,295.70,290.10,291.50
20161011,295.50,296.00,292.00,294.50
20161007,294.00,298.00,291.20,295.50
20161006,296.00,297.00,290.00,294.00
20161005,289.00,296.00,289.00,294.10
20161004,283.30,289.90,282.50,286.80
20161003,278.00,281.35,277.90,280.70
20160930,278.10,279.50,275.05,278.00
20160929,272.50,280.00,272.50,278.00
20160928,263.50,273.50,259.00,273.30
20160927,260.95,261.50,257.50,258.50
20160926,262.10,264.65,261.50,261.50
20160923,270.00,270.00,262.10,264.50
20160922,265.30,270.50,265.30,270.00
20160921,256.60,263.90,256.60,263.90
20160920,261.00,262.00,255.00,256.50
20160919,258.50,264.00,258.50,260.20
20160916,261.00,261.00,254.25,257.50
20160915,258.30,262.35,258.00,261.50
20160914,259.50,262.00,257.60,258.30
20160913,259.00,260.00,254.00,259.50
20160912,261.00,261.00,257.50,259.50
20160909,264.50,264.50,259.50,259.50
20160908,265.60,271.40,264.00,266.40
20160907,262.05,268.00,262.05,265.50
20160906,257.00,261.95,257.00,261.50
20160905,258.00,258.50,256.25,257.25
20160902,257.00,260.00,257.00,258.90
20160901,257.00,257.00,252.10,255.90
20160831,259.60,261.00,253.50,256.00
20160830,260.00,261.10,259.00,259.40
20160829,258.00,260.00,256.50,258.70
20160826,261.00,262.10,255.10,257.50
20160825,262.00,263.50,260.00,261.10
20160824,263.00,265.00,262.00,262.00
20160823,263.00,265.95,262.00,263.00
20160822,267.00,268.00,260.00,260.00
20160819,268.50,270.00,265.75,267.00
20160818,267.00,272.00,266.55,270.50
20160817,264.00,267.50,260.00,267.00
20160816,270.00,274.00,265.20,265.20
20160812,270.00,272.00,268.50,270.00
20160811,268.50,272.90,268.50,271.00
20160810,272.00,275.00,268.00,269.90
20160809,269.50,274.00,269.50,272.30
20160808,272.60,276.00,269.00,269.00
20160805,283.00,283.00,272.00,272.00
20160804,283.00,285.00,280.00,284.50
20160803,271.40,283.50,271.40,282.10
20160802,275.00,275.00,269.00,271.00
20160801,276.00,277.00,269.10,272.00
20160729,273.00,281.00,272.00,280.75
20160728,272.35,276.25,271.00,272.25
20160727,276.00,277.00,270.00,271.50
20160726,277.90,278.00,273.30,275.25
20160725,283.00,283.95,274.50,275.00
20160722,285.00,285.00,280.00,284.00
20160721,292.00,292.00,283.00,284.95
20160720,280.00,290.50,276.00,290.50
20160719,288.10,288.10,278.50,279.00
20160718,287.00,288.50,283.10,288.00
20160715,282.50,289.00,282.50,287.00
20160714,287.00,289.50,285.00,285.60
20160713,288.00,288.00,281.50,285.00
20160712,286.20,291.00,286.20,288.00
20160711,285.00,286.00,281.80,283.50
20160707,287.00,287.50,280.00,282.50
20160706,288.00,288.00,281.00,283.50
20160705,293.00,293.00,283.00,285.50
20160704,289.00,299.00,289.00,294.95
20160701,289.00,296.25,289.00,296.25
20160630,296.00,296.00,287.00,289.00
20160629,295.00,298.00,291.10,295.00
20160628,286.50,291.00,283.10,290.00
20160627,283.00,285.00,275.50,280.00
20160624,279.00,289.90,275.00,288.00
20160623,288.00,294.00,287.00,294.00
20160622,290.20,291.00,285.00,285.00
20160621,280.10,287.00,279.00,285.00
20160616,273.10,273.50,265.00,273.50
20160615,278.00,278.00,272.10,273.00
20160614,282.00,283.60,273.10,277.00
20160613,290.00,293.00,281.50,281.50
20160610,298.50,298.50,289.00,290.50
20160609,303.00,303.00,298.00,299.10
20160608,303.00,306.50,303.00,303.00
20160607,295.00,303.50,295.00,301.00
20160606,293.00,297.00,291.00,294.00
20160603,291.10,296.00,290.70,293.00
20160602,292.00,297.50,289.00,296.00
20160601,288.00,293.00,284.00,293.00
20160531,294.60,298.90,290.00,291.60
20160530,298.00,298.00,293.50,294.50
20160527,302.00,304.90,297.50,300.00
20160526,295.00,303.00,295.00,303.00
20160524,291.00,296.00,290.00,294.00
20160523,288.00,292.90,288.00,291.00
20160520,290.00,293.00,289.50,290.00
20160519,289.00,289.00,283.00,288.30
20160518,291.00,297.00,290.00,292.00
20160517,285.50,293.00,285.50,291.00
20160516,284.00,290.50,284.00,289.00
20160513,293.00,293.00,283.00,285.00
20160512,291.50,297.40,290.00,293.50
20160511,280.00,291.80,280.00,291.50
20160510,280.00,284.50,280.00,284.50
20160509,281.00,284.00,277.00,280.00
20160506,280.00,287.00,280.00,283.50
20160505,279.00,287.00,279.00,282.50
20160504,277.00,279.00,273.00,273.50
20160503,282.00,282.00,272.00,275.90
20160502,288.95,288.95,282.15,283.50
20160429,285.00,289.40,285.00,289.35
20160428,287.00,288.00,283.00,284.00
20160427,286.00,290.00,283.00,286.50
20160426,276.50,285.70,276.50,282.75
20160425,289.00,289.00,275.00,276.90
20160422,292.00,297.50,287.00,290.50
20160421,295.75,297.00,289.05,292.00
20160420,290.00,298.50,288.00,296.00
20160419,271.05,288.50,271.05,288.00
20160418,263.25,270.50,258.00,270.50
20160415,263.00,271.00,263.00,265.50
20160414,267.00,269.50,265.00,269.00
20160413,262.00,265.90,257.00,265.80
20160412,249.00,261.50,249.00,261.00
20160411,245.30,249.00,245.30,247.20
20160408,241.00,248.00,241.00,242.50
20160407,243.00,244.00,236.15,238.50
20160406,249.00,251.95,244.00,244.75
20160405,251.00,253.80,246.00,246.00
20160404,260.90,262.00,250.00,251.70
20160401,260.50,261.00,256.00,261.00
20160331,258.25,263.90,258.25,262.50
20160330,261.10,265.00,255.10,255.50
20160329,259.50,262.00,257.00,260.00
20160328,257.00,261.00,252.50,260.90
20160323,259.00,260.50,254.00,257.00
20160322,261.75,263.40,259.50,262.00
20160321,263.00,265.00,252.00,262.00
20160318,260.00,262.00,255.00,258.10
20160317,247.10,260.00,247.10,255.00
20160316,242.00,245.00,240.50,244.50
20160315,246.50,246.50,240.00,240.00
20160314,254.90,257.00,250.00,250.00
20160311,268.10,268.15,256.00,257.00
20160310,272.00,280.00,265.00,266.00
20160309,284.50,286.00,275.00,275.20
20160308,281.00,285.00,278.00,284.50
20160307,281.00,284.40,280.00,280.50
20160304,283.00,289.00,280.00,282.00
20160303,290.00,298.00,285.00,286.00
20160302,281.00,294.00,276.00,293.50
20160301,288.00,295.00,284.45,285.50
20160229,291.00,300.00,284.00,288.00
20160226,297.00,300.00,290.00,291.00
20160225,290.00,295.00,286.00,295.00
20160224,279.00,291.00,268.00,290.00
20160223,285.00,285.00,278.00,281.75
20160222,272.50,286.00,271.25,285.00
20160219,265.00,266.00,257.25,265.00
20160218,271.05,277.90,264.00,268.00
20160217,252.10,271.00,252.10,265.75
20160216,253.00,253.00,243.50,251.00
20160215,243.50,251.50,243.50,250.50
20160212,235.00,244.50,233.00,243.50
20160211,221.00,232.00,221.00,229.00
20160210,230.00,237.00,223.00,235.00
20160205,248.00,249.00,239.10,240.50
20160204,235.00,247.00,233.50,245.50
20160203,230.00,236.00,226.00,232.50
20160202,230.00,231.00,225.00,229.00
20160201,232.50,235.00,225.00,235.00
20160129,229.25,235.00,225.05,235.00
20160128,220.00,230.00,220.00,225.00
20160127,213.00,219.00,210.00,217.00
20160126,206.50,215.00,205.00,211.00
20160125,202.00,208.50,195.00,207.50
20160122,200.00,213.00,200.00,203.05
20160121,179.00,193.00,177.00,193.00
20160120,185.50,185.50,176.50,179.00
20160119,185.50,194.50,185.00,186.00
20160118,190.00,190.00,182.50,184.00
20160115,187.50,193.00,186.00,190.00
20160114,187.00,195.00,187.00,195.00
20160113,196.90,201.50,185.00,187.00
20160112,202.95,205.00,192.60,196.50
20160111,213.55,215.00,198.50,201.00
20160108,219.05,221.00,209.30,213.00
20160107,208.30,223.00,208.30,218.00
20160106,217.00,218.00,210.00,215.05
20160105,225.00,225.00,216.60,218.95
20160104,220.00,222.00,214.00,220.00
20151230,227.00,227.25,217.50,219.95
20151229,228.10,233.00,225.10,226.00
20151228,230.90,230.90,223.00,230.00
20151223,225.00,236.90,225.00,231.50
20151222,219.00,225.00,217.50,220.00
20151221,220.00,230.00,213.00,219.75
20151218,234.50,234.50,215.00,218.00
20151217,239.00,239.00,223.10,231.00
20151216,240.00,242.00,230.00,233.00
20151215,236.00,245.00,236.00,237.00
20151214,244.00,245.00,234.00,235.00
20151211,254.00,254.00,243.50,245.00
20151210,259.00,259.00,252.00,253.00
20151209,260.00,265.00,252.00,256.00
20151204,258.00,265.00,254.00,265.00
20151203,261.00,267.00,257.00,258.00
20151202,261.50,263.00,259.00,261.00
20151201,268.50,272.00,259.05,261.50
20151130,275.00,275.00,260.00,267.00
20151127,268.00,282.00,268.00,280.00
20151126,268.00,282.00,268.00,280.00
20151125,277.00,285.00,266.00,269.00
20151124,288.00,291.90,277.00,278.00
20151120,303.00,306.50,295.00,300.00
20151119,295.00,302.00,290.00,302.00
20151118,297.70,303.00,293.00,296.00
20151117,295.00,308.00,295.00,298.00
20151116,293.00,305.00,290.00,305.00
20151113,290.00,295.00,289.00,292.50
20151112,294.00,297.80,290.00,290.00
20151111,294.00,297.50,290.00,296.00
20151110,294.00,299.00,290.00,299.00
20151109,295.00,298.00,290.00,294.00
20151105,300.00,304.50,292.00,299.00
20151104,299.70,305.50,297.50,300.00
20151103,294.00,300.00,287.00,298.00
20151102,290.00,300.00,289.00,294.00
20151030,281.50,293.00,281.50,290.00
20151029,288.05,294.00,277.05,280.85
20151028,265.00,280.00,261.00,277.00
20151027,263.50,267.00,249.00,259.00
20151026,274.00,276.50,265.00,271.00
20151023,252.00,261.00,247.00,256.90
20151022,240.00,254.00,240.00,250.00
20151021,238.00,243.00,236.00,237.00
20151020,243.00,247.00,241.55,242.00
